Sample ID	Array ID	Cell Line/Patient ID	
GSM46855	GSM46855	Breast - 22223	
GSM46856	GSM46856	Rectosigmoid - 22225	
GSM46857	GSM46857	Colon - 22227	
GSM46858	GSM46858	Kidney - 22229	
GSM46859	GSM46859	Breast - 22233	
GSM46860	GSM46860	Lung - 22235	
GSM46861	GSM46861	Colon - 22237	
GSM46862	GSM46862	Breast - 22239	
GSM46863	GSM46863	Breast - 22241	
GSM46864	GSM46864	Colon - 22245	
GSM46865	GSM46865	Colon - 22247	
GSM46866	GSM46866	Prostate - 22249	
GSM46867	GSM46867	Uterus - 22251	
GSM46868	GSM46868	Lung - 22255	
GSM46869	GSM46869	Breast - 22259	
GSM46870	GSM46870	Breast - 22263	
GSM46871	GSM46871	Breast - 22269	
GSM46872	GSM46872	Bladder or Kidney - 22273	
GSM46873	GSM46873	Breast - 2323	
GSM46874	GSM46874	Breast - 2324	
GSM46875	GSM46875	Kidney - 23864	
GSM46876	GSM46876	Omentum - 23866	
GSM46877	GSM46877	Colon - 23876	
GSM46878	GSM46878	Colon - 23880	
GSM46879	GSM46879	Rectum - 23882	
GSM46880	GSM46880	Breast - 23886	
GSM46881	GSM46881	Kidney - 23888	
GSM46882	GSM46882	Kidney - 23896	
GSM46883	GSM46883	Breast - 23898	
GSM46884	GSM46884	Lung - 23900	
GSM46885	GSM46885	Breast - 23902	
GSM46886	GSM46886	Ovary - 23904	
GSM46887	GSM46887	Colon - 23908	
GSM46888	GSM46888	Omentum - 23910	
GSM46889	GSM46889	Renal Pelvis - 23912	
GSM46890	GSM46890	Breast - 23914	
GSM46891	GSM46891	Breast - 23916	
GSM46892	GSM46892	Kidney - 23918	
GSM46893	GSM46893	Breast - 23920	
GSM46894	GSM46894	Breast - 23922	
GSM46895	GSM46895	Colon - 23924	
GSM46896	GSM46896	Uterus - 23932	
GSM46897	GSM46897	Ovary - 23936	
GSM46898	GSM46898	Ovary - 23938	
GSM46899	GSM46899	Colon - 23940	
GSM46900	GSM46900	Breast - 23944	
GSM46901	GSM46901	Rectosigmoid Colon - 23946	
GSM46902	GSM46902	Omentum - 23948	
GSM46903	GSM46903	Lung - 23950	
GSM46904	GSM46904	Lung - 23952	
GSM46905	GSM46905	Breast - 23954	
GSM46906	GSM46906	Omentum - 23956	
GSM46907	GSM46907	Peritoneum - 23960	
GSM46908	GSM46908	Breast - 23975	
GSM46909	GSM46909	Lung - 2491	
GSM46910	GSM46910	Ovary - 29227	
GSM46911	GSM46911	Ovary - 29229	
GSM46912	GSM46912	Uterus - 29231	
GSM46913	GSM46913	Lung - 29233	
GSM46914	GSM46914	Uterus - 29239	
GSM46915	GSM46915	Colon - 29241	
GSM46916	GSM46916	Perihepatic Mass - 29243	
GSM46917	GSM46917	Small Intestine - 29247	
GSM46918	GSM46918	Ovary - 29249	
GSM46919	GSM46919	Cervix Uteri - 29251	
GSM46920	GSM46920	Bladder - 29253	
GSM46921	GSM46921	Colon - 29255	
GSM46922	GSM46922	Peritoneum - 29257	
GSM46923	GSM46923	Uterine Corpus - 29259	
GSM46924	GSM46924	Colon - 29263	
GSM46925	GSM46925	Ovary - 29265	
GSM46926	GSM46926	Corpus uteri - 29269	
GSM46927	GSM46927	Uterus - 29275	
GSM46928	GSM46928	Lung - 29277	
GSM46929	GSM46929	Kidney - 29279	
GSM46930	GSM46930	Colon - 29287	
GSM46931	GSM46931	Colon - 29291	
GSM46932	GSM46932	Abdominal Wall Fascia - 29293	
GSM46933	GSM46933	Breast - 29303	
GSM46934	GSM46934	Breast - 29313	
GSM46935	GSM46935	Omentum - 31810	
GSM46936	GSM46936	Lung - 31812	
GSM46937	GSM46937	Uterine Corpus - 31814	
GSM46938	GSM46938	Breast - 31816	
GSM46939	GSM46939	Kidney - 31818	
GSM46940	GSM46940	Colon - 31820	
GSM46941	GSM46941	Lung - 31822	
GSM46942	GSM46942	Cervix - 31824	
GSM46943	GSM46943	Uterus - 31826	
GSM46944	GSM46944	Kidney - 31828	
GSM46945	GSM46945	Liver - 31830	
GSM46946	GSM46946	Adrenal Gland - 31832	
GSM46947	GSM46947	Breast - 31834	
GSM46948	GSM46948	Ovary - 31836	
GSM46949	GSM46949	Endometrium - 31840	
GSM46950	GSM46950	Ovary - 31842	
GSM46951	GSM46951	R thigh mass - 31846	
GSM46952	GSM46952	Breast - 31861	
GSM46953	GSM46953	Breast - 31865	
GSM46954	GSM46954	Breast - 31867	
GSM46955	GSM46955	Breast - 31871	
GSM46956	GSM46956	Colon - 31877	
GSM46957	GSM46957	Kidney - 31879	
GSM46958	GSM46958	Breast - 31881	
GSM46959	GSM46959	Breast - 31901	
GSM46960	GSM46960	Lung - 31903	
GSM46961	GSM46961	Lung - 31907	
GSM46962	GSM46962	Breast - 37977	
GSM46963	GSM46963	Kidney - 4192	
GSM46964	GSM46964	Kidney - 4197	
GSM46965	GSM46965	Kidney - 4202	
GSM46966	GSM46966	Ovary - 8178	
GSM46967	GSM46967	Colon - 8204	
GSM46968	GSM46968	Breast - 8222	
GSM46969	GSM46969	Rectosigmoid - 8262	
GSM46970	GSM46970	Liver - 8274	
GSM46971	GSM46971	Liver - 8276	
GSM46972	GSM46972	Rectosigmoid - 8278	
GSM46973	GSM46973	Lung - 8280	
GSM46974	GSM46974	Breast - 8282	
GSM46975	GSM46975	Lung - 8284	
GSM46976	GSM46976	Lung - 8290	
GSM53026	GSM53026	Mesenteric Lymph Node - 1002	
GSM53027	GSM53027	Breast - 1008	
GSM53028	GSM53028	Breast - 1009	
GSM53029	GSM53029	Ovary - 1018	
GSM53030	GSM53030	Bladder - 1019	
GSM53031	GSM53031	Breast - 1025	
GSM53032	GSM53032	Breast - 1032	
GSM53033	GSM53033	Breast - 1033	
GSM53034	GSM53034	Breast - 1034	
GSM53035	GSM53035	Breast - 1035	
GSM53036	GSM53036	Ovary - 1040	
GSM53037	GSM53037	Omentum - 1041	
GSM53038	GSM53038	Lymph Node - 1042	
GSM53039	GSM53039	Stomach - 1049	
GSM53040	GSM53040	Omentum - 1059	
GSM53041	GSM53041	Small intestine - 1222	
GSM53042	GSM53042	Uterine Cervix - 1223	
GSM53043	GSM53043	Kidney - 1225	
GSM53044	GSM53044	Small intestine - 1226	
GSM53045	GSM53045	Colon - 1228	
GSM53046	GSM53046	Pancreas - 1229	
GSM53047	GSM53047	Colon - 1232	
GSM53048	GSM53048	Soft tissue of abdomen - 1233	
GSM53049	GSM53049	Omentum - 1235	
GSM53050	GSM53050	Uterus - 1236	
GSM53051	GSM53051	Colon - 1237	
GSM53052	GSM53052	Breast - 1239	
GSM53053	GSM53053	Endometrium - 1240	
GSM53054	GSM53054	Ovary - 1241	
GSM53055	GSM53055	Colon - 1259	
GSM53056	GSM53056	Ovary - 1270	
GSM53057	GSM53057	Kidney - 1271	
GSM53058	GSM53058	Endometrium - 1272	
GSM53059	GSM53059	Breast - 1290	
GSM53060	GSM53060	Kidney - 1296	
GSM53061	GSM53061	Prostate - 1317	
GSM53062	GSM53062	Kidney - 1320	
GSM53063	GSM53063	Ovary - 1323	
GSM53064	GSM53064	Kidney - 1633	
GSM53065	GSM53065	Endometrium - 1634	
GSM53066	GSM53066	Ovary - 1636	
GSM53067	GSM53067	Endometrium - 1637	
GSM53068	GSM53068	Ovary - 1639	
GSM53069	GSM53069	Ovary - 1643	
GSM53070	GSM53070	Colon - 1646	
GSM53071	GSM53071	Ureter - 1647	
GSM53072	GSM53072	R hip/buttock mass - 1654	
GSM53073	GSM53073	Colon - 1655	
GSM53074	GSM53074	Thyroid - 1657	
GSM53075	GSM53075	Endometrium - 1659	
GSM53076	GSM53076	Kidney - 20295	
GSM53077	GSM53077	Ovary - 20296	
GSM53078	GSM53078	Breast - 20308	
GSM53079	GSM53079	Kidney - 20309	
GSM53080	GSM53080	Breast - 22196	
GSM53081	GSM53081	Kidney - 22210	
GSM53082	GSM53082	Omentum - 22216	
GSM53083	GSM53083	Colon - 22231	
GSM53084	GSM53084	Endometrium - 22253	
GSM53085	GSM53085	Vulva - 22257	
GSM53086	GSM53086	Breast - 22271	
GSM53087	GSM53087	Rectosigmoid - 2310	
GSM53088	GSM53088	Liver - 2311	
GSM53089	GSM53089	Breast - 2312	
GSM53090	GSM53090	Liver - 2313	
GSM53091	GSM53091	Breast - 2314	
GSM53092	GSM53092	Kidney - 2316	
GSM53093	GSM53093	Corpus Uteri - 2317	
GSM53094	GSM53094	Breast - 2319	
GSM53095	GSM53095	Breast - 2321	
GSM53096	GSM53096	Breast - 2322	
GSM53097	GSM53097	Bladder - 2328	
GSM53098	GSM53098	Ovary - 23862	
GSM53099	GSM53099	Breast - 23874	
GSM53100	GSM53100	Ovary - 23884	
GSM53101	GSM53101	Lymph Node - 23906	
GSM53102	GSM53102	Breast - 23926	
GSM53103	GSM53103	Endometrium - 23928	
GSM53104	GSM53104	Ovary - 23930	
GSM53105	GSM53105	Ovary - 23934	
GSM53106	GSM53106	Colon - 23958	
GSM53107	GSM53107	Breast - 2495	
GSM53108	GSM53108	Breast - 29235	
GSM53109	GSM53109	Breast - 29237	
GSM53110	GSM53110	Breast - 29245	
GSM53111	GSM53111	Colon - 29267	
GSM53112	GSM53112	Cervix - 29273	
GSM53113	GSM53113	Colon - 29281	
GSM53114	GSM53114	Prostate - 29283	
GSM53115	GSM53115	Breast - 29285	
GSM53116	GSM53116	Soft Tissue of Knee - 29289	
GSM53117	GSM53117	Urinary Bladder - 29295	
GSM53118	GSM53118	Ovary - 29299	
GSM53119	GSM53119	Corpus Uteri - 29301	
GSM53120	GSM53120	Uterus - 29305	
GSM53121	GSM53121	Ovary - 29308	
GSM53122	GSM53122	Kidney - 29311	
GSM53123	GSM53123	Breast - 31838	
GSM53124	GSM53124	Ovary - 31848	
GSM53125	GSM53125	Omentum - 31850	
GSM53126	GSM53126	Colon - 31852	
GSM53127	GSM53127	Kidney - 31869	
GSM53128	GSM53128	Breast - 31873	
GSM53129	GSM53129	Pelvic Tumor - 31875	
GSM53130	GSM53130	Breast - 31887	
GSM53131	GSM53131	Breast - 31893	
GSM53132	GSM53132	Rectosigmoid - 31895	
GSM53133	GSM53133	Breast - 31905	
GSM53134	GSM53134	Breast - 31909	
GSM53135	GSM53135	Colon - 3750	
GSM53136	GSM53136	Kidney - 3751	
GSM53137	GSM53137	Bladder - 3753	
GSM53138	GSM53138	Soft Tissue of Abdomen - 3754	
GSM53139	GSM53139	Bladder - 3756	
GSM53140	GSM53140	Vaginal Wall - 3758	
GSM53141	GSM53141	Kidney - 3760	
GSM53142	GSM53142	Colon - 3761	
GSM53143	GSM53143	Endometrium - 3762	
GSM53144	GSM53144	Ovary - 3763	
GSM53145	GSM53145	Cervix - 3764	
GSM53146	GSM53146	Colon - 3765	
GSM53147	GSM53147	Breast - 3766	
GSM53148	GSM53148	Colon - 3767	
GSM53149	GSM53149	Endometrium - 3768	
GSM53150	GSM53150	Ovary - 4194	
GSM53151	GSM53151	Ovary - 4195	
GSM53152	GSM53152	Prostate - 4196	
GSM53153	GSM53153	Colon - 4201	
GSM53154	GSM53154	Kidney - 4203	
GSM53155	GSM53155	Endometrium - 4204	
GSM53156	GSM53156	Colon - 4214	
GSM53157	GSM53157	Ileum - 4215	
GSM53158	GSM53158	Tongue - 4216	
GSM53159	GSM53159	Breast - 4219	
GSM53160	GSM53160	Breast - 4226	
GSM53161	GSM53161	Breast - 4227	
GSM53162	GSM53162	Prostate - 4337	
GSM53163	GSM53163	Ovary - 4342	
GSM53164	GSM53164	Uterus - 4344	
GSM53165	GSM53165	Ovary - 4346	
GSM53166	GSM53166	Omentum - 4347	
GSM53167	GSM53167	Lung - 4451	
GSM53168	GSM53168	Rectum - 4610	
GSM53169	GSM53169	Colon - 5150	
GSM53170	GSM53170	Lung - 5225	
GSM53171	GSM53171	Kidney - 5227	
GSM53172	GSM53172	Breast - 5228	
GSM53173	GSM53173	Ovary - 5230	
GSM53174	GSM53174	Uterus - 5231	
GSM53175	GSM53175	Omentum - 5232	
GSM53176	GSM53176	Uterus - 5233	
GSM53177	GSM53177	Ovary - 5234	
GSM53178	GSM53178	Colon - 5237	
GSM53179	GSM53179	Uterus - 5240	
GSM53180	GSM53180	Ovary - 5242	
GSM53181	GSM53181	Vulva - 5243	
GSM53182	GSM53182	Renal Pelvis - 5244	
GSM53183	GSM53183	Small Intestine - 6290	
GSM53184	GSM53184	Ovary - 6291	
GSM53185	GSM53185	Ovary - 6296	
GSM53186	GSM53186	Ovary - 7002	
GSM53187	GSM53187	Breast - 7530	
GSM53188	GSM53188	Renal Pelvis - 8286	
GSM53189	GSM53189	Endometrium - 4349	
GSM76486	GSM76486	Breast - 1005	
GSM76487	GSM76487	Endometrium - 1039	
GSM76488	GSM76488	Lung - 20275	
GSM76489	GSM76489	Ovary - 20284	
GSM76490	GSM76490	Colon - 20286	
GSM76491	GSM76491	Breast - 20290	
GSM76492	GSM76492	Breast - 20291	
GSM76493	GSM76493	Breast - 20292	
GSM76494	GSM76494	Stomach - 20293	
GSM76495	GSM76495	Breast - 20294	
GSM76496	GSM76496	Urethral Nodule - 20300	
GSM76497	GSM76497	Breast - 20301	
GSM76498	GSM76498	Liver - 20302	
GSM76499	GSM76499	Endometrium - 20303	
GSM76500	GSM76500	Ovary - 20307	
GSM76501	GSM76501	Colon - 20310	
GSM76502	GSM76502	Omentum - 20311	
GSM76503	GSM76503	Kidney - 20313	
GSM76504	GSM76504	Ovary - 20315	
GSM76505	GSM76505	Soft Tissue Lt Shoulder/Arm - 20317	
GSM76506	GSM76506	Duodenum - 20318	
GSM76507	GSM76507	Endometrium - 20319	
GSM76508	GSM76508	Kidney - 20320	
GSM76509	GSM76509	Ovary - 20323	
GSM76510	GSM76510	Ovary - 20325	
GSM76511	GSM76511	Ovary - 20326	
GSM76512	GSM76512	Colon - 20327	
GSM76513	GSM76513	Uterine/Bladder Tumor - 20328	
GSM76514	GSM76514	Breast - 20459	
GSM76515	GSM76515	Kidney - 20463	
GSM76516	GSM76516	Prostate - 20464	
GSM76517	GSM76517	Breast - 21633	
GSM76518	GSM76518	Kidney - 21634	
GSM76519	GSM76519	Colon - 21637	
GSM76520	GSM76520	Colon - 21638	
GSM76521	GSM76521	Breast - 21650	
GSM76522	GSM76522	Colon - 21651	
GSM76523	GSM76523	Soft tissue of shoulder - 21655	
GSM76524	GSM76524	Colon - 21659	
GSM76525	GSM76525	Endometrium - 21750	
GSM76526	GSM76526	Colon - 21751	
GSM76527	GSM76527	Endometrium - 21752	
GSM76528	GSM76528	Breast - 21753	
GSM76529	GSM76529	Colon - 21754	
GSM76530	GSM76530	Colon - 21755	
GSM76531	GSM76531	Colon - 21756	
GSM76532	GSM76532	Urinary Bladder - 21757	
GSM76533	GSM76533	Ovary - 21758	
GSM76534	GSM76534	Ureterovesicle junction - 21759	
GSM76535	GSM76535	Uterus - 21760	
GSM76536	GSM76536	Uterus - 21762	
GSM76537	GSM76537	Omentum - 21763	
GSM76538	GSM76538	Kidney - 21764	
GSM76539	GSM76539	Omentum - 21765	
GSM76540	GSM76540	Omentum - 21766	
GSM76541	GSM76541	Vulva - 21767	
GSM76542	GSM76542	Omentum - 21771	
